# doubletapd trace v1
# travel_mm=3.5000
us,k1_mm,k2_mm
0,0.0342,0.0000
1,0.0342,0.0000
2,0.0342,0.0000
2,0.0342,0.0000
3,0.0582,0.0000
4,0.0342,0.0000
4,0.0342,0.0000
5,0.0342,0.0000
6,0.0000,0.0000
6,0.0000,0.0000
7,0.0000,0.0000
7,0.0000,0.0000
8,0.0000,0.0000
8,0.0000,0.0000
9,0.0000,0.0000
10,0.0000,0.0000
10,0.0000,0.0000
11,0.0000,0.0000
11,0.0000,0.0000
12,0.0342,0.0000
13,0.0000,0.0000
13,0.0000,0.0000
14,0.0547,0.0000
14,0.0411,0.0000
15,0.0342,0.0000
16,0.0000,0.0000
16,0.0000,0.0000
22745,0.0000,0.0000
23740,0.0000,0.0000
24740,0.0000,0.0000
25738,0.0000,0.0000
26734,0.0000,0.0000
27739,0.0000,0.0000
28745,0.0411,0.0000
29739,0.0000,0.0000
30739,0.0000,0.0000
31739,0.0000,0.0000
32739,0.0000,0.0000
33740,0.0000,0.0000
34739,0.0000,0.0000
35745,0.0000,0.0000
36744,0.0000,0.0000
37745,0.0000,0.0000
38739,0.0000,0.0000
39734,0.0000,0.0000
40740,0.0000,0.0000
41739,0.0000,0.0000
42739,0.0000,0.0000
43745,0.0000,0.0000
44752,0.0000,0.0000
45739,0.0000,0.0000
46735,0.0000,0.0000
47742,0.0000,0.0000
48739,0.0000,0.0000
49744,0.0000,0.0000
50745,0.0000,0.0000
51744,0.0000,0.0000
52739,0.0000,0.0000
182751,0.0342,0.0000
183745,0.0000,0.0000
233747,0.0411,0.0000
234742,0.0000,0.0000
235742,0.0000,0.0000
239750,0.0342,0.0000
240742,0.0000,0.0000
241741,0.0000,0.0000
290748,0.0411,0.0000
291742,0.0000,0.0000
292742,0.0000,0.0000
343767,0.0342,0.0000
344743,0.0000,0.0000
345750,0.0000,0.0000
480765,0.0342,0.0000
481748,0.0000,0.0000
538760,0.0342,0.0000
539753,0.0000,0.0000
609767,0.0650,0.0000
610755,0.0342,0.0000
612754,0.0000,0.0000
613748,0.0000,0.0000
1078760,0.0342,0.0000
1079753,0.0000,0.0000
1221763,0.0342,0.0000
1222757,0.0000,0.0000
1243755,0.0411,0.0000
1244756,0.0000,0.0000
1310764,0.0342,0.0000
1311760,0.0000,0.0000
1312757,0.0000,0.0000
1427779,0.0411,0.0000
1428759,0.0000,0.0000
1434765,0.0342,0.0000
1435798,0.0000,0.0000
1436760,0.0000,0.0000
1550803,0.0411,0.0000
1551763,0.0342,0.0000
1552790,0.0000,0.0000
1658770,0.0000,0.0342
1701808,0.0342,0.0342
1702767,0.0000,0.0342
1724802,0.0000,0.0000
1725766,0.0000,0.0000
2022770,0.0582,0.0000
2023814,0.0000,0.0000
2024764,0.0000,0.0000
2053822,0.1026,0.0000
2054777,0.2292,0.0000
2055860,0.4379,0.0000
2056775,0.6672,0.0000
2057805,0.8519,0.0000
2058774,1.0298,0.0000
2059805,1.1290,0.0000
2060771,1.2659,0.0000
2061809,1.4164,0.0000
2062771,1.5499,0.0000
2063816,1.6764,0.0000
2064771,1.7722,0.0000
2065798,1.8783,0.0000
2066772,1.9980,0.0000
2067800,2.1349,0.0000
2068763,2.2546,0.0000
2069805,2.3299,0.0000
2070763,2.4599,0.0000
2071796,2.5899,0.0000
2072764,2.7370,0.0000
2073793,2.8876,0.0000
2074764,2.9868,0.0000
2075804,3.1373,0.0000
2076774,3.3050,0.0000
2077803,3.4726,0.0000
2078764,3.5000,0.0000
2304776,3.5000,0.0479
2305824,3.5000,0.0547
2306772,3.5000,0.0718
2307819,3.5000,0.1197
2308771,3.5000,0.1266
2309809,3.5000,0.1916
2310778,3.5000,0.2190
2311841,3.5000,0.2805
2312772,3.5000,0.3216
2313801,3.5000,0.3558
2314771,3.5000,0.4208
2315799,3.5000,0.4619
2316771,3.5000,0.4961
